trial_number,datetime,reward,final_value,profit,return_pct,state,hidden_size,num_layers,batch_size,discount,tau,exploration_phase,observation_covariance,transition_covariance
0,2026-04-15 10:24:15,-2.404,54754.06,-45245.94,-45.2459,COMPLETE,384,1,64,0.985,0.00094982550204042,300,0.8734966290694469,0.45257910356426734
1,2026-04-15 10:25:38,-2.3889,53723.91,-46276.09,-46.2761,COMPLETE,512,1,32,0.965,0.0010179224612705934,200,0.4450713018721913,0.07318239807505225
2,2026-04-15 11:59:33,0.4985,109671.64,9671.64,9.6716,COMPLETE,128,1,256,0.975,0.004538433473642872,180,2.660904561652896,0.04785023663840216
3,2026-04-15 12:02:14,-2.2,57471.24,-42528.76,-42.5288,COMPLETE,128,1,64,0.955,0.0009369175589726391,200,0.2655440799280228,0.024721905981972197
4,2026-04-15 14:02:34,-2.0781,59700.59,-40299.41,-40.2994,COMPLETE,512,2,128,0.98,0.001022415706175639,240,1.5189369570623172,0.15591320630958116
5,2026-04-15 14:03:54,-2.9841,43611.69,-56388.31,-56.3883,COMPLETE,128,3,64,0.995,0.002488546796547742,160,0.1919620074004436,0.40836058771069605
6,2026-04-15 14:05:31,-2.4621,55136.44,-44863.56,-44.8636,COMPLETE,256,1,128,0.955,0.0018145473632265987,100,0.1110510798092835,0.35322507726911057
7,2026-04-15 14:19:07,-2.9274,46730.09,-53269.91,-53.2699,COMPLETE,128,1,64,0.975,0.003990152536852373,200,0.17742780534582958,0.43046532982778474
8,2026-04-15 14:26:44,-2.1497,58453.26,-41546.74,-41.5467,COMPLETE,384,2,256,0.955,0.0032572681236017757,200,0.15125517083263237,0.023805822519579915
9,2026-04-15 14:40:03,0.4132,108184.37,8184.37,8.1844,COMPLETE,512,1,64,0.95,0.0007869547208471805,280,1.628223940884924,0.050156696639157665
